time,bf_03,bf_04,bl_ce193
2018-03-06 12:40:00,12.13251614,2.123,NA
2018-03-06 12:45:00,10.32564378,2.123,NA
2018-03-06 12:50:00,11.96584498,2.123,NA
2018-03-06 12:55:00,10.93393232,2.123,NA
2018-03-06 13:00:00,11.46233631,2.123,NA
2018-03-06 13:05:00,10.46400646,2.123,NA
2018-03-06 13:10:00,10.02095062,2.123,NA
2018-03-06 13:15:00,14.29961979,NA,NA
2018-03-06 13:20:00,11.2184556,1.466,NA
2018-03-06 13:25:00,9.457897608,1.466,NA
2018-03-06 13:30:00,13.01126521,1.67,NA
2018-03-06 13:35:00,10.52645925,1.67,NA
2018-03-06 13:40:00,9.662933799,1.67,NA
2018-03-06 13:45:00,10.21294611,1.67,NA
2018-03-06 13:50:00,11.00569089,NA,NA
2018-03-06 13:55:00,9.617149386,1.67,NA
2018-03-06 14:00:00,10.98290278,1.67,NA
2018-03-06 14:05:00,9.973260891,1.67,NA
2018-03-06 14:10:00,10.53100804,1.67,NA
2018-03-06 14:15:00,10.60843839,1.67,NA
2018-03-06 14:20:00,10.47738785,NA,NA
2018-03-06 14:25:00,11.14243215,1.67,NA
2018-03-06 14:30:00,10.38144057,1.67,NA
2018-03-06 14:35:00,9.377274897,2.123,NA
2018-03-06 14:40:00,13.45004985,2.123,NA
2018-03-06 14:45:00,10.68189408,1.89,NA
2018-03-06 14:50:00,10.48043509,1.89,NA
2018-03-06 14:55:00,10.08099968,1.89,NA
2018-03-06 15:00:00,10.18340106,NA,NA
2018-03-06 15:05:00,10.32387095,2.123,NA
2018-03-06 15:10:00,10.46708525,2.371,NA
2018-03-06 15:15:00,11.84919788,2.123,NA
2018-03-06 15:20:00,10.16159085,2.123,NA
2018-03-06 15:25:00,10.36897399,2.634,NA
2018-03-06 15:30:00,9.729399114,2.634,NA
2018-03-06 15:35:00,9.099243576,2.634,NA
2018-03-06 15:40:00,10.64715673,2.634,NA
2018-03-06 15:45:00,9.836507007,1.89,NA
2018-03-06 15:50:00,10.23700233,NA,NA
2018-03-06 15:55:00,11.29858621,NA,NA
2018-03-06 16:00:00,9.514785861,2.123,NA
2018-03-06 16:05:00,12.5603042,2.123,NA
2018-03-06 16:10:00,10.56472333,NA,NA
2018-03-06 16:15:00,9.836507007,1.67,NA
2018-03-06 16:20:00,9.911256039,1.67,NA
2018-03-06 16:25:00,12.07820196,1.67,NA
2018-03-06 16:30:00,10.77499599,1.67,NA
2018-03-06 16:35:00,12.21948571,1.89,NA
2018-03-06 16:40:00,11.12668489,1.89,NA
2018-03-06 16:45:00,10.61358023,2.123,NA
2018-03-06 16:50:00,9.973065312,2.123,NA
2018-03-06 16:55:00,11.56767768,2.123,NA
2018-03-06 17:00:00,11.60914043,2.371,NA
2018-03-06 17:05:00,12.60422114,2.634,NA
2018-03-06 17:10:00,15.5518932,NA,NA
2018-03-06 17:15:00,12.39373398,2.634,NA
2018-03-06 17:20:00,11.56767768,3.511,NA
2018-03-06 17:25:00,13.2197398,3.511,1.51362054
2018-03-06 17:30:00,13.33802724,2.911,1.51362054
2018-03-06 17:35:00,12.70606733,2.911,NA
2018-03-06 17:40:00,11.61446522,2.911,NA
2018-03-06 17:45:00,12.8388844,2.911,NA
2018-03-06 17:50:00,14.64158651,3.511,NA
2018-03-06 17:55:00,16.04113091,3.833,1.51362054
2018-03-06 18:00:00,14.30389098,3.833,1.51362054
2018-03-06 18:05:00,15.21304312,3.833,NA
